RB,Proizvod,Količina,Cijena_prije,Cijena_poslije,Porijeklo,Kategorija
1,krumpir mladi,1 kg,9.99,8.99,strano,povrće
2,krumpir stari,1 kg,4.99,4.49,strano,povrće
3,rajčica,1 kg,17.99,15.99,strano,povrće
4,luk ,1 kg,5.99,5.49,strano,povrće
5,kelj,1 kg,7.99,7.29,strano,povrće
6,piletina b-zb,1 kg,29.99,30.99,domaće,meso
7,miješano meso Pik,1 kg,27.99,28.49,domaće,meso
8,sol Pag,1 kg,4.99,4.99,domaće,ostalo
9,ulje Zvijezda,1 L,10.99,10.99,domaće,ostalo
10,ulje S-budget,1 L,7.99,7.99,strano,ostalo
11,brašno Podravka,1 kg,5.99,5.99,domaće,žitarice
12,brašno S-budget,1 kg,4.29,4.29,strano,žitarice
13,šećer Premijer,1 kg,5.49,5.49,domaće,ostalo
14,fusili Tjesteninka,1 kg,9.99,10.49,domaće,žitarice
15,špageti no.3 Barilla,1 kg,8.49,10.49,strano,žitarice
16,riža Šafram,1 kg,14.73,14.99,domaće,žitarice
17,riža S-budget,1 kg,9.99,9.99,strano,žitarice
18,kruh polubijeli,0.5 kg,5.49,5.99,domaće,žitarice
19,mlijeko 3.2% Dukat,1 L,5.99,6.49,domaće,mlijeko
20,mlijeko 2.8% Meggle,1 L,6.79,6.99,strano,mlijeko
21,jaja L S-budget,10 kom.,14.99,14.49,strano,meso
22,majoneza Zvijezda,0.165 kg,11.99,11.99,domaće,ostalo
